product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IC,2025-02-28,IC202504,2025-04-18,0.75,0.833,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
IC,2025-02-28,IC202506,2025-06-20,47.56,0.021,46.57,-0.99,50.25,2.69,43.49,-4.08,43.49,-4.08
IC,2025-02-28,IC202509,2025-09-19,79.63,0.012,82.11,2.49,90.4,10.77,79.23,-0.4,79.23,-0.4
IC,2025-03-31,IC202504,2025-04-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC,2025-03-31,IC202505,2025-05-16,3.47,0.831,3.39,-0.09,3.41,-0.07,3.37,-0.1,3.37,-0.1
IC,2025-03-31,IC202506,2025-06-20,47.69,0.327,47.02,-0.68,49.98,2.29,44.27,-3.42,44.27,-3.42
IC,2025-03-31,IC202509,2025-09-19,80.4,0.26,83.19,2.8,90.03,9.63,81.13,0.73,81.13,0.73
IC,2025-04-30,IC202505,2025-05-16,2.26,1.0,2.26,0.0,2.26,0.0,2.26,0.0,2.26,0.0
IC,2025-04-30,IC202506,2025-06-20,44.23,1.0,44.23,0.0,44.23,0.0,44.23,0.0,44.23,0.0
IC,2025-04-30,IC202506,2025-06-20,44.23,1.0,44.23,0.0,44.23,0.0,44.23,0.0,44.23,0.0
IC,2025-04-30,IC202509,2025-09-19,75.85,0.95,78.87,3.03,79.0,3.16,79.52,3.68,79.52,3.68
IC,2025-05-30,IC202506,2025-06-20,27.42,1.0,27.42,0.0,27.42,0.0,27.42,0.0,27.42,0.0
IC,2025-05-30,IC202507,2025-07-18,47.2,1.0,47.2,0.0,47.2,0.0,47.2,0.0,47.2,0.0
IC,2025-05-30,IC202509,2025-09-19,59.26,0.936,62.31,3.05,62.44,3.18,62.96,3.7,62.96,3.7
IC,2025-05-30,IC202512,2025-12-19,70.03,0.711,81.38,11.35,81.17,11.14,84.16,14.13,84.16,14.13
IC,2025-06-30,IC202507,2025-07-18,11.28,1.0,11.28,0.0,11.28,0.0,11.28,0.0,11.28,0.0
IC,2025-06-30,IC202508,2025-08-15,18.88,1.0,18.88,0.0,18.88,0.0,18.88,0.0,18.88,0.0
IC,2025-06-30,IC202509,2025-09-19,23.04,0.864,25.79,2.75,25.91,2.87,26.37,3.33,26.37,3.33
IC,2025-06-30,IC202512,2025-12-19,34.47,0.517,45.64,11.17,45.18,10.71,48.15,13.68,48.15,13.68
IC,2025-07-31,IC202508,2025-08-15,3.95,1.0,3.95,0.0,3.95,0.0,3.95,0.0,3.95,0.0
IC,2025-07-31,IC202509,2025-09-19,8.23,0.586,11.09,2.86,11.21,2.98,11.67,3.44,11.67,3.44
IC,2025-07-31,IC202509,2025-09-19,8.23,0.586,11.09,2.86,11.21,2.98,11.67,3.44,11.67,3.44
IC,2025-07-31,IC202512,2025-12-19,20.15,0.193,31.85,11.69,31.38,11.23,34.4,14.25,34.4,14.25
IC,2025-08-29,IC202509,2025-09-19,3.39,0.915,3.43,0.04,3.43,0.04,3.47,0.08,3.47,0.08
IC,2025-08-29,IC202510,2025-10-17,9.03,0.892,10.0,0.97,9.82,0.79,9.9,0.86,9.9,0.86
IC,2025-08-29,IC202512,2025-12-19,16.88,0.753,19.62,2.74,19.38,2.5,20.14,3.26,20.14,3.26
IC,2025-08-29,IC202603,2026-03-20,19.94,0.661,26.54,6.59,26.09,6.15,26.89,6.94,26.89,6.94
IC,2025-09-30,IC202510,2025-10-17,1.8,1.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.0
IC,2025-09-30,IC202511,2025-11-21,7.13,0.928,7.15,0.02,7.2,0.08,7.31,0.19,7.31,0.19
IC,2025-09-30,IC202512,2025-12-19,9.14,0.793,10.15,1.02,10.19,1.05,10.9,1.77,10.9,1.77
IC,2025-09-30,IC202603,2026-03-20,12.17,0.657,16.92,4.75,16.76,4.58,17.32,5.15,17.32,5.15
IC,2025-10-31,IC202511,2025-11-21,2.23,1.0,2.23,0.0,2.23,0.0,2.23,0.0,2.23,0.0
IC,2025-10-31,IC202512,2025-12-19,4.26,1.0,4.26,0.0,4.26,0.0,4.26,0.0,4.26,0.0
