product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IM,2024-09-30,IM202503,2025-03-21,11.46,8.08,3.38,41.8,0.531
IM,2024-10-31,IM202411,2024-11-15,1.37,1.37,0.0,,1.0
IM,2024-10-31,IM202412,2024-12-20,2.79,2.79,0.0,,1.0
IM,2024-10-31,IM202412,2024-12-20,2.79,2.79,0.0,,1.0
IM,2024-10-31,IM202503,2025-03-21,4.91,4.91,0.0,,1.0
IM,2024-11-29,IM202412,2024-12-20,1.04,1.04,0.0,,1.0
IM,2024-11-29,IM202501,2025-01-17,2.02,2.02,0.0,,1.0
IM,2024-11-29,IM202503,2025-03-21,3.19,3.19,0.0,,1.0
IM,2024-11-29,IM202506,2025-06-20,43.82,41.38,2.44,5.9,0.124
IM,2024-12-31,IM202501,2025-01-17,0.73,0.73,0.0,,1.0
IM,2024-12-31,IM202502,2025-02-21,1.72,1.72,0.0,,1.0
IM,2024-12-31,IM202503,2025-03-21,1.86,1.86,0.0,,1.0
IM,2024-12-31,IM202506,2025-06-20,40.97,38.63,2.35,6.1,0.076
IM,2025-01-27,IM202502,2025-02-21,0.06,0.06,0.0,,1.0
IM,2025-01-27,IM202503,2025-03-21,0.19,0.19,0.0,,1.0
IM,2025-01-27,IM202503,2025-03-21,0.19,0.19,0.0,,1.0
IM,2025-01-27,IM202506,2025-06-20,38.57,36.27,2.3,6.3,0.018
IM,2025-02-28,IM202503,2025-03-21,0.14,0.14,0.0,,1.0
IM,2025-02-28,IM202504,2025-04-18,0.58,0.44,0.14,,0.8
IM,2025-02-28,IM202506,2025-06-20,41.23,38.84,2.39,6.2,0.024
IM,2025-02-28,IM202509,2025-09-19,70.66,62.57,8.08,12.9,0.014
IM,2025-03-31,IM202504,2025-04-18,0.29,0.29,0.0,,1.0
IM,2025-03-31,IM202505,2025-05-16,5.49,5.56,-0.07,-1.2,0.897
IM,2025-03-31,IM202506,2025-06-20,39.66,38.43,1.23,3.2,0.306
IM,2025-03-31,IM202509,2025-09-19,68.55,61.99,6.56,10.6,0.237
IM,2025-04-30,IM202505,2025-05-16,3.61,3.61,0.0,,1.0
IM,2025-04-30,IM202506,2025-06-20,35.02,35.02,0.0,0.0,1.0
IM,2025-04-30,IM202506,2025-06-20,35.02,35.02,0.0,0.0,1.0
IM,2025-04-30,IM202509,2025-09-19,59.66,57.54,2.13,3.7,0.932
IM,2025-05-30,IM202506,2025-06-20,18.61,18.61,0.0,0.0,1.0
IM,2025-05-30,IM202507,2025-07-18,34.67,34.67,0.0,0.0,1.0
IM,2025-05-30,IM202509,2025-09-19,43.57,41.42,2.15,5.2,0.909
IM,2025-05-30,IM202512,2025-12-19,55.66,47.95,7.71,16.1,0.718
IM,2025-06-30,IM202507,2025-07-18,9.9,9.9,0.0,0.0,1.0
IM,2025-06-30,IM202508,2025-08-15,13.08,13.06,0.01,0.1,0.99
IM,2025-06-30,IM202509,2025-09-19,19.3,17.02,2.27,13.3,0.788
IM,2025-06-30,IM202512,2025-12-19,32.05,23.92,8.13,34.0,0.487
IM,2025-07-31,IM202508,2025-08-15,1.36,1.36,-0.01,,0.957
IM,2025-07-31,IM202509,2025-09-19,7.73,5.51,2.21,40.1,0.409
IM,2025-07-31,IM202509,2025-09-19,7.73,5.51,2.21,40.1,0.409
IM,2025-07-31,IM202512,2025-12-19,20.98,12.74,8.24,64.7,0.149
IM,2025-08-29,IM202509,2025-09-19,3.02,2.96,0.07,,0.959
IM,2025-08-29,IM202510,2025-10-17,6.96,6.81,0.16,2.3,0.934
IM,2025-08-29,IM202512,2025-12-19,12.5,11.03,1.47,13.3,0.776
IM,2025-08-29,IM202603,2026-03-20,15.68,12.89,2.8,21.7,0.661
IM,2025-09-30,IM202510,2025-10-17,1.59,1.59,0.0,,1.0
IM,2025-09-30,IM202511,2025-11-21,4.5,4.13,0.37,,0.906
IM,2025-09-30,IM202512,2025-12-19,7.01,5.89,1.12,19.0,0.708
IM,2025-09-30,IM202603,2026-03-20,10.18,7.78,2.39,30.7,0.548
IM,2025-10-31,IM202511,2025-11-21,1.0,1.0,0.0,,1.0
IM,2025-10-31,IM202512,2025-12-19,2.74,2.74,0.0,,1.0
